domain,constraint,path,cause,count
BE,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",7
BE,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",6
BE,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",33
BE,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",7
BE,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",6
BE,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",33
CM,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),91
CM,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",8
CM,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",12
CM,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",4
CM,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
CM,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",69
CM,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",91
CM,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",65
CM,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",4
CM,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",65
CM,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",91
CM,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",4
CM,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
CM,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",69
CM,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",4
CM,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
CM,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",69
DD,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),68
DD,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",5
DD,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",18
DD,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",13
DD,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",26
DD,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",42
DD,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",13
DD,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",29
DD,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",68
DD,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",13
DD,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",68
DD,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",68
DD,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",13
DD,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",26
DD,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",42
DD,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",13
DD,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",26
DD,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",42
DM,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),11
DM,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",4
DM,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",9
DM,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",5
DM,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",11
DM,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",11
DM,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1
DM,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",5
DM,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1
DM,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",11
DM,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",5
DM,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",11
DM,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",5
DM,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",11
DS,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),94
DS,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",5
DS,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",25
DS,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",20
DS,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",40
DS,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",94
DS,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",10
DS,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",94
DS,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",94
DS,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",20
DS,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",94
DS,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",94
DS,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",20
DS,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",40
DS,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",94
DS,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",20
DS,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",40
DS,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",94
EC,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),38
EC,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",8
EC,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",10
EC,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
EC,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",4
EC,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",28
EC,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",22
EC,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",20
EC,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",2
EC,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",20
EC,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",38
EC,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
EC,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",4
EC,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",28
EC,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
EC,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",4
EC,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",28
EG,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),365
EG,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",9
EG,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",42
EG,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",33
EG,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",86
EG,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",298
EG,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",98
EG,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",120
EG,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",365
EG,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",33
EG,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",365
EG,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",365
EG,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",33
EG,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",86
EG,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",298
EG,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",33
EG,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",86
EG,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",298
EX,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),17
EX,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",9
EX,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",10
EX,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",1
EX,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",15
EX,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",17
EX,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",12
EX,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",1
EX,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",12
EX,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",17
EX,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",1
EX,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",15
EX,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",1
EX,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",15
FA,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),111
FA,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",5
FA,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",17
FA,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",12
FA,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",24
FA,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",87
FA,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",16
FA,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",24
FA,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",100
FA,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",12
FA,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",100
FA,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",111
FA,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",12
FA,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",24
FA,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",87
FA,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",12
FA,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",24
FA,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",87
FT,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),232
FT,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",7
FT,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",30
FT,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",23
FT,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",83
FT,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",186
FT,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",57
FT,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",83
FT,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",192
FT,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",23
FT,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",192
FT,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",232
FT,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",23
FT,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",83
FT,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",186
FT,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",23
FT,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",83
FT,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",186
GF,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),646
GF,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",9
GF,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",47
GF,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",38
GF,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",227
GF,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",570
GF,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",214
GF,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",102
GF,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",628
GF,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",38
GF,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",628
GF,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",646
GF,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",38
GF,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",227
GF,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",570
GF,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",38
GF,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",227
GF,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",570
IE,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),14
IE,ClosedConstraintComponent,exactMatch,"authored: skos:exactMatch to the EVS form on the codelist node (D29, D2)",2
IE,ClosedConstraintComponent,identifier,"authored: dcterms:identifier carries the mnemonic or the codelist C-code (D3, D29)",4
IE,DatatypeConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
IE,DatatypeConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
IE,DatatypeConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",10
IE,InConstraintComponent,comparator,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",4
IE,InConstraintComponent,dataType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",4
IE,InConstraintComponent,linkingPhrase,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",12
IE,InConstraintComponent,packageType,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",2
IE,InConstraintComponent,predicateTerm,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",12
IE,InConstraintComponent,role,"generator disagreement: the enum has no meaning:, so gen-owl declares class IRIs and gen-shacl expects strings (known-gaps 4b)",13
IE,NodeKindConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
IE,NodeKindConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
IE,NodeKindConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",10
IE,PatternConstraintComponent,biomedicalConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
IE,PatternConstraintComponent,conceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",2
IE,PatternConstraintComponent,dataElementConceptId,"published range is string; the reference is rendered as an edge to the NCIt node (D21, D28, D31)",10
IS,ClosedConstraintComponent,_n,authored: rdf:_n carries the D5 variable order on the closed SDTMGroup shape (D27),4097
